"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YMR303C" "MATCH" "1" "ADH2" "S. cerevisiae" "Alcohol DeHydrogenase" "1047" "YMR303C" "S000004918" "ORF"
"YCR045C" "MATCH" "1" "RRT12" "S. cerevisiae" "Regulator of rDNA Transcription" "1476" "YCR045C" "S000000641" "ORF"
"YLR374C" "MATCH" "1" "" "S. cerevisiae" "" "390" "YLR374C" "S000004366" "ORF"
"YML083C" "MATCH" "1" "" "S. cerevisiae" "" "1257" "YML083C" "S000004548" "ORF"
"YLL005C" "MATCH" "1" "SPO75" "S. cerevisiae" "SPOrulation" "2607" "YLL005C" "S000003928" "ORF"
"YGL205W" "MATCH" "1" "POX1" "S. cerevisiae" "" "2247" "YGL205W" "S000003173" "ORF"
"YJR128W" "MATCH" "1" "" "S. cerevisiae" "" "360" "YJR128W" "S000003889" "ORF"
"YNR062C" "MATCH" "1" "PUL3" "S. cerevisiae" "PULcherrimin" "984" "YNR062C" "S000005345" "ORF"
"YIL037C" "MATCH" "1" "PRM2" "S. cerevisiae" "Pheromone-Regulated Membrane protein" "1971" "YIL037C" "S000001299" "ORF"
"YKL221W" "MATCH" "1" "MCH2" "S. cerevisiae" "MonoCarboxylate permease Homologue" "1422" "YKL221W" "S000001704" "ORF"
"tS(UGA)P" "MATCH" "1" "SUP16" "" "" "" "tS(UGA)P" "S000006736" "TRNAGene"
"YBL100W-B" "MATCH" "1" "" "S. cerevisiae" "" "" "YBL100W-B" "S000002149" "TransposableElementGene"
"YBR076W" "MATCH" "1" "ECM8" "S. cerevisiae" "ExtraCellular Mutant" "1065" "YBR076W" "S000000280" "ORF"
"YIL160C" "MATCH" "1" "POT1" "S. cerevisiae" "Peroxisomal Oxoacyl Thiolase" "1254" "YIL160C" "S000001422" "ORF"
"YNL034W" "MATCH" "1" "" "S. cerevisiae" "" "1839" "YNL034W" "S000004979" "ORF"
"YOL155C" "MATCH" "1" "HPF1" "S. cerevisiae" "Haze Protective Factor" "2904" "YOL155C" "S000005515" "ORF"
"YIR019C" "MATCH" "1" "FLO11" "S. cerevisiae" "FLOcculation" "4104" "YIR019C" "S000001458" "ORF"
"YML058W-A" "MATCH" "1" "HUG1" "S. cerevisiae" "" "207" "YML058W-A" "S000007472" "ORF"
"snR68" "MATCH" "1" "SNR68" "" "Small Nucleolar RNA" "" "snR68" "S000006459" "SnoRNAGene"
"YIL099W" "MATCH" "1" "SGA1" "S. cerevisiae" "Sporulation-specific GlycoAmylase" "1650" "YIL099W" "S000001361" "ORF"
"YOL132W" "MATCH" "1" "GAS4" "S. cerevisiae" "Glycophospholipid-Anchored Surface protein" "1416" "YOL132W" "S000005492" "ORF"
"YGR052W" "MATCH" "1" "FMP48" "S. cerevisiae" "Found in Mitochondrial Proteome" "1110" "YGR052W" "S000003284" "ORF"
"YOR383C" "MATCH" "1" "FIT3" "S. cerevisiae" "Facilitator of Iron Transport" "615" "YOR383C" "S000005910" "ORF"
"YKL178C" "MATCH" "1" "STE3" "S. cerevisiae" "STErile" "1413" "YKL178C" "S000001661" "ORF"
"YDL222C" "MATCH" "1" "FMP45" "S. cerevisiae" "Found in Mitochondrial Proteome" "930" "YDL222C" "S000002381" "ORF"
"YGR224W" "MATCH" "1" "AZR1" "S. cerevisiae" "Acetic Acid and AZoles Resistance" "1842" "YGR224W" "S000003456" "ORF"
"YAL018C" "MATCH" "1" "LDS1" "S. cerevisiae" "Lipid Droplets in Sporulation" "978" "YAL018C" "S000000016" "ORF"
"YJR078W" "MATCH" "1" "BNA2" "S. cerevisiae" "Biosynthesis of Nicotinic Acid" "1362" "YJR078W" "S000003839" "ORF"
"YER011W" "MATCH" "1" "TIR1" "S. cerevisiae" "TIp1-Related" "765" "YER011W" "S000000813" "ORF"
"YAL019W-A" "MATCH" "1" "" "S. cerevisiae" "" "570" "YAL019W-A" "S000028729" "ORF"
"YBR117C" "MATCH" "1" "TKL2" "S. cerevisiae" "TransKetoLase" "2046" "YBR117C" "S000000321" "ORF"
"YOR382W" "MATCH" "1" "FIT2" "S. cerevisiae" "Facilitator of Iron Transport" "462" "YOR382W" "S000005909" "ORF"
"YCL064C" "MATCH" "1" "CHA1" "S. cerevisiae" "Catabolism of Hydroxy Amino acids" "1083" "YCL064C" "S000000569" "ORF"
"YNL142W" "MATCH" "1" "MEP2" "S. cerevisiae" "" "1500" "YNL142W" "S000005086" "ORF"
"YMR306W" "MATCH" "1" "FKS3" "S. cerevisiae" "FK506 Sensitivity" "5358" "YMR306W" "S000004923" "ORF"
"YDR210W-B" "MATCH" "1" "" "S. cerevisiae" "" "" "YDR210W-B" "S000007393" "TransposableElementGene"
"YJL153C" "MATCH" "1" "INO1" "S. cerevisiae" "INOsitol requiring" "1602" "YJL153C" "S000003689" "ORF"
"YPL171C" "MATCH" "1" "OYE3" "S. cerevisiae" "Old Yellow Enzyme" "1203" "YPL171C" "S000006092" "ORF"
